epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
81,857.22296,645.2939,940.478,684.39935,1508.2008,2031.0942,446.07
82,824.4314,669.1595,919.0915,703.58496,1440.5682,2065.3743,444.34
83,850.4095,643.8244,940.55756,683.1347,1503.102,2016.1957,440.53
84,836.0211,655.73114,933.55646,692.8863,1468.8375,2030.6125,442.53
85,841.40405,646.86414,935.16797,685.83435,1499.3541,2039.4636,447.27
86,832.14197,654.6617,929.35223,689.84937,1481.2264,2043.1368,460.25
87,836.8376,653.1975,930.82227,691.2799,1483.3483,2045.4348,433.02
88,847.2554,645.24066,938.53265,685.2743,1497.4238,2028.3518,420.77
89,835.05505,668.56244,921.092,703.29297,1448.7422,2068.2212,427.92
90,846.6617,648.978,936.6088,687.65247,1498.3739,2040.3267,430.23
91,832.2868,663.1065,922.8069,698.703,1458.883,2058.3809,425.77
92,836.6402,660.29016,930.2222,696.2095,1466.8214,2054.9875,436.74
93,838.46106,657.9755,929.00006,693.53625,1475.2496,2045.4001,445.24
94,844.31793,650.37915,938.4531,688.7998,1485.5348,2031.3241,452.85
95,824.41974,672.6465,915.7149,708.0689,1432.0885,2081.2097,459.72
96,840.1604,658.55194,929.38544,693.7329,1478.1483,2048.3865,460.03
97,829.80176,664.2117,923.6226,701.18555,1454.1753,2065.7349,454.47
98,833.8101,667.8958,924.07544,702.2835,1450.4048,2058.687,436.26
99,829.5796,667.73395,920.74304,701.75146,1453.5894,2073.252,450.07
100,822.266,677.7965,909.8273,711.8873,1420.4818,2086.4434,430.6
101,814.18024,685.4208,906.13654,716.3269,1404.5305,2094.1475,424.72
102,842.96655,649.9987,937.21564,685.9221,1493.8497,2027.4352,444.27
103,843.4894,647.7504,939.02264,684.2801,1502.17,2024.3577,426.66
104,842.91406,647.4447,937.38727,686.0423,1499.4058,2033.5918,434.34
105,825.0024,670.6127,918.97375,703.4825,1445.7972,2069.0657,434.4
106,834.87537,649.8939,934.6154,688.60706,1484.1561,2030.6531,448.24
107,826.1433,659.0862,930.2101,695.49365,1464.8483,2047.9877,443.69
108,821.3566,662.85846,924.9237,697.16876,1458.5974,2051.988,450.45
109,815.0764,665.6476,916.73114,700.45496,1448.7245,2067.5166,442.31
110,818.05145,672.6742,915.3287,708.0153,1428.5446,2079.835,441.75
111,820.5681,660.5305,925.50226,693.70184,1471.9901,2054.0188,451.34
112,821.93353,664.789,928.48755,697.5541,1454.149,2046.7665,451.76
113,823.03455,657.23975,927.5746,691.52893,1474.5997,2046.9673,444.79
114,839.3133,642.13684,941.07666,678.4196,1517.5187,2020.5514,435.47
115,829.8386,656.8508,930.4204,693.1005,1473.6265,2048.8914,444.72
116,822.67474,672.2162,919.09674,704.9104,1438.3488,2068.7207,436.19
117,808.187,689.5833,900.75525,719.27765,1395.7789,2108.0945,446.07
118,817.17566,685.72235,909.986,717.412,1401.2007,2100.606,429.86
119,818.2942,669.1993,918.39154,706.041,1432.5028,2078.3,422.45
120,819.37885,665.68115,920.5806,699.7544,1452.6111,2068.6155,428.4
121,811.969,677.64526,911.2307,710.38837,1420.0774,2094.5645,432.61
122,809.8028,684.1805,905.1131,715.322,1407.4854,2097.751,441.25
123,798.0359,694.09784,895.77466,724.4313,1375.9933,2113.603,448.52
124,807.8515,685.881,910.6234,716.02826,1400.114,2090.3174,438.28
125,803.0403,685.15533,904.433,718.746,1394.1619,2102.272,442.77
